Category: All categories

Week,Cryptocurrency: (Worldwide)
2017-02-26,1
2017-03-05,1
2017-03-12,1
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,2
2017-04-30,2
2017-05-07,3
2017-05-14,3
2017-05-21,5
2017-05-28,5
2017-06-04,6
2017-06-11,8
2017-06-18,7
2017-06-25,7
2017-07-02,6
2017-07-09,6
2017-07-16,6
2017-07-23,5
2017-07-30,5
2017-08-06,7
2017-08-13,9
2017-08-20,8
2017-08-27,10
2017-09-03,11
2017-09-10,10
2017-09-17,7
2017-09-24,7
2017-10-01,7
2017-10-08,8
2017-10-15,9
2017-10-22,8
2017-10-29,10
2017-11-05,11
2017-11-12,12
2017-11-19,12
2017-11-26,21
2017-12-03,29
2017-12-10,39
2017-12-17,50
2017-12-24,39
2017-12-31,53
2018-01-07,55
2018-01-14,48
2018-01-21,33
2018-01-28,34
2018-02-04,29
2018-02-11,21
2018-02-18,20
2018-02-25,16
2018-03-04,16
2018-03-11,16
2018-03-18,14
2018-03-25,13
2018-04-01,12
2018-04-08,12
2018-04-15,12
2018-04-22,13
2018-04-29,12
2018-05-06,12
2018-05-13,11
2018-05-20,10
2018-05-27,9
2018-06-03,9
2018-06-10,10
2018-06-17,8
2018-06-24,8
2018-07-01,7
2018-07-08,7
2018-07-15,9
2018-07-22,8
2018-07-29,8
2018-08-05,8
2018-08-12,8
2018-08-19,8
2018-08-26,8
2018-09-02,8
2018-09-09,8
2018-09-16,8
2018-09-23,8
2018-09-30,7
2018-10-07,8
2018-10-14,7
2018-10-21,7
2018-10-28,6
2018-11-04,7
2018-11-11,7
2018-11-18,8
2018-11-25,8
2018-12-02,7
2018-12-09,6
2018-12-16,7
2018-12-23,6
2018-12-30,6
2019-01-06,7
2019-01-13,6
2019-01-20,5
2019-01-27,6
2019-02-03,6
2019-02-10,5
2019-02-17,6
2019-02-24,6
2019-03-03,5
2019-03-10,5
2019-03-17,5
2019-03-24,5
2019-03-31,7
2019-04-07,6
2019-04-14,6
2019-04-21,6
2019-04-28,6
2019-05-05,6
2019-05-12,9
2019-05-19,8
2019-05-26,8
2019-06-02,7
2019-06-09,7
2019-06-16,10
2019-06-23,11
2019-06-30,8
2019-07-07,8
2019-07-14,7
2019-07-21,6
2019-07-28,6
2019-08-04,6
2019-08-11,6
2019-08-18,5
2019-08-25,5
2019-09-01,5
2019-09-08,6
2019-09-15,6
2019-09-22,6
2019-09-29,6
2019-10-06,6
2019-10-13,5
2019-10-20,6
2019-10-27,5
2019-11-03,5
2019-11-10,5
2019-11-17,5
2019-11-24,5
2019-12-01,5
2019-12-08,4
2019-12-15,5
2019-12-22,4
2019-12-29,5
2020-01-05,6
2020-01-12,6
2020-01-19,6
2020-01-26,6
2020-02-02,6
2020-02-09,8
2020-02-16,7
2020-02-23,6
2020-03-01,7
2020-03-08,7
2020-03-15,6
2020-03-22,6
2020-03-29,6
2020-04-05,7
2020-04-12,6
2020-04-19,7
2020-04-26,7
2020-05-03,8
2020-05-10,8
2020-05-17,7
2020-05-24,7
2020-05-31,7
2020-06-07,7
2020-06-14,6
2020-06-21,7
2020-06-28,6
2020-07-05,7
2020-07-12,8
2020-07-19,8
2020-07-26,9
2020-08-02,10
2020-08-09,10
2020-08-16,10
2020-08-23,9
2020-08-30,10
2020-09-06,9
2020-09-13,8
2020-09-20,7
2020-09-27,7
2020-10-04,7
2020-10-11,6
2020-10-18,7
2020-10-25,7
2020-11-01,7
2020-11-08,8
2020-11-15,10
2020-11-22,13
2020-11-29,11
2020-12-06,10
2020-12-13,13
2020-12-20,14
2020-12-27,16
2021-01-03,27
2021-01-10,25
2021-01-17,21
2021-01-24,27
2021-01-31,35
2021-02-07,47
2021-02-14,43
2021-02-21,41
2021-02-28,29
2021-03-07,33
2021-03-14,37
2021-03-21,33
2021-03-28,38
2021-04-04,45
2021-04-11,64
2021-04-18,76
2021-04-25,56
2021-05-02,83
2021-05-09,100
2021-05-16,92
2021-05-23,62
2021-05-30,44
2021-06-06,40
2021-06-13,35
2021-06-20,37
2021-06-27,28
2021-07-04,26
2021-07-11,25
2021-07-18,26
2021-07-25,29
2021-08-01,28
2021-08-08,35
2021-08-15,37
2021-08-22,38
2021-08-29,38
2021-09-05,42
2021-09-12,35
2021-09-19,37
2021-09-26,30
2021-10-03,42
2021-10-10,41
2021-10-17,44
2021-10-24,68
2021-10-31,78
2021-11-07,67
2021-11-14,67
2021-11-21,72
2021-11-28,65
2021-12-05,53
2021-12-12,48
2021-12-19,46
2021-12-26,48
2022-01-02,54
2022-01-09,51
2022-01-16,56
2022-01-23,49
2022-01-30,45
2022-02-06,43
2022-02-13,37
2022-02-20,38
