Category: All categories

Week,Cryptocurrency: (United States)
2017-02-26,1
2017-03-05,1
2017-03-12,1
2017-03-19,1
2017-03-26,1
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,1
2017-05-07,2
2017-05-14,2
2017-05-21,4
2017-05-28,3
2017-06-04,4
2017-06-11,5
2017-06-18,5
2017-06-25,4
2017-07-02,3
2017-07-09,4
2017-07-16,4
2017-07-23,3
2017-07-30,3
2017-08-06,5
2017-08-13,6
2017-08-20,5
2017-08-27,6
2017-09-03,6
2017-09-10,5
2017-09-17,4
2017-09-24,4
2017-10-01,4
2017-10-08,5
2017-10-15,5
2017-10-22,5
2017-10-29,5
2017-11-05,6
2017-11-12,6
2017-11-19,7
2017-11-26,17
2017-12-03,23
2017-12-10,37
2017-12-17,44
2017-12-24,31
2017-12-31,44
2018-01-07,45
2018-01-14,41
2018-01-21,26
2018-01-28,27
2018-02-04,24
2018-02-11,15
2018-02-18,14
2018-02-25,11
2018-03-04,11
2018-03-11,12
2018-03-18,9
2018-03-25,9
2018-04-01,7
2018-04-08,7
2018-04-15,7
2018-04-22,8
2018-04-29,7
2018-05-06,7
2018-05-13,7
2018-05-20,6
2018-05-27,6
2018-06-03,5
2018-06-10,7
2018-06-17,6
2018-06-24,6
2018-07-01,4
2018-07-08,5
2018-07-15,6
2018-07-22,6
2018-07-29,5
2018-08-05,6
2018-08-12,6
2018-08-19,5
2018-08-26,5
2018-09-02,5
2018-09-09,5
2018-09-16,5
2018-09-23,4
2018-09-30,4
2018-10-07,4
2018-10-14,4
2018-10-21,4
2018-10-28,4
2018-11-04,4
2018-11-11,4
2018-11-18,5
2018-11-25,5
2018-12-02,4
2018-12-09,4
2018-12-16,4
2018-12-23,4
2018-12-30,3
2019-01-06,4
2019-01-13,3
2019-01-20,3
2019-01-27,3
2019-02-03,4
2019-02-10,3
2019-02-17,4
2019-02-24,3
2019-03-03,3
2019-03-10,3
2019-03-17,3
2019-03-24,3
2019-03-31,5
2019-04-07,4
2019-04-14,4
2019-04-21,3
2019-04-28,3
2019-05-05,3
2019-05-12,5
2019-05-19,4
2019-05-26,5
2019-06-02,4
2019-06-09,4
2019-06-16,6
2019-06-23,6
2019-06-30,5
2019-07-07,5
2019-07-14,5
2019-07-21,4
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,3
2019-09-22,4
2019-09-29,4
2019-10-06,3
2019-10-13,3
2019-10-20,3
2019-10-27,3
2019-11-03,3
2019-11-10,2
2019-11-17,3
2019-11-24,3
2019-12-01,2
2019-12-08,2
2019-12-15,3
2019-12-22,2
2019-12-29,2
2020-01-05,3
2020-01-12,3
2020-01-19,3
2020-01-26,3
2020-02-02,4
2020-02-09,4
2020-02-16,4
2020-02-23,4
2020-03-01,3
2020-03-08,4
2020-03-15,3
2020-03-22,3
2020-03-29,3
2020-04-05,4
2020-04-12,4
2020-04-19,4
2020-04-26,4
2020-05-03,5
2020-05-10,5
2020-05-17,4
2020-05-24,4
2020-05-31,4
2020-06-07,4
2020-06-14,4
2020-06-21,4
2020-06-28,4
2020-07-05,5
2020-07-12,5
2020-07-19,5
2020-07-26,5
2020-08-02,6
2020-08-09,6
2020-08-16,6
2020-08-23,5
2020-08-30,5
2020-09-06,4
2020-09-13,4
2020-09-20,4
2020-09-27,4
2020-10-04,3
2020-10-11,3
2020-10-18,5
2020-10-25,4
2020-11-01,4
2020-11-08,5
2020-11-15,6
2020-11-22,8
2020-11-29,7
2020-12-06,6
2020-12-13,7
2020-12-20,8
2020-12-27,11
2021-01-03,21
2021-01-10,18
2021-01-17,14
2021-01-24,29
2021-01-31,32
2021-02-07,39
2021-02-14,33
2021-02-21,29
2021-02-28,21
2021-03-07,22
2021-03-14,24
2021-03-21,22
2021-03-28,23
2021-04-04,25
2021-04-11,52
2021-04-18,72
2021-04-25,44
2021-05-02,82
2021-05-09,100
2021-05-16,75
2021-05-23,49
2021-05-30,35
2021-06-06,32
2021-06-13,28
2021-06-20,31
2021-06-27,22
2021-07-04,20
2021-07-11,18
2021-07-18,18
2021-07-25,19
2021-08-01,19
2021-08-08,25
2021-08-15,24
2021-08-22,25
2021-08-29,24
2021-09-05,31
2021-09-12,24
2021-09-19,26
2021-09-26,21
2021-10-03,32
2021-10-10,31
2021-10-17,32
2021-10-24,67
2021-10-31,66
2021-11-07,57
2021-11-14,55
2021-11-21,55
2021-11-28,50
2021-12-05,40
2021-12-12,36
2021-12-19,34
2021-12-26,35
2022-01-02,38
2022-01-09,34
2022-01-16,42
2022-01-23,35
2022-01-30,29
2022-02-06,31
2022-02-13,31
2022-02-20,25
