Category: All categories

Region,Wawa: (1/1/04 - 1/27/22)
Delaware,100
Pennsylvania,53
New Jersey,48
Florida,22
District of Columbia,20
Maryland,19
Virginia,19
New York,3
North Carolina,2
Georgia,2
Connecticut,2
South Carolina,2
Michigan,2
Massachusetts,2
Hawaii,2
West Virginia,1
Rhode Island,1
New Hampshire,1
Ohio,1
Tennessee,1
Vermont,1
Illinois,1
Oklahoma,1
Maine,1
Texas,1
Wyoming,1
Colorado,1
Washington,1
Minnesota,1
Alabama,1
Wisconsin,1
Indiana,1
Oregon,1
California,1
Kentucky,1
Missouri,1
Arkansas,1
Kansas,1
Iowa,1
Louisiana,1
Nevada,1
Arizona,1
North Dakota,1
Alaska,1
Mississippi,1
Idaho,1
Utah,1
Nebraska,1
New Mexico,1
South Dakota,1
Montana,1
