Category: All categories

Month,Kim Kardashian: (Worldwide),Khloé Kardashian: (Worldwide),Kourtney Kardashian: (Worldwide),Kendall Jenner: (Worldwide),Kylie Jenner: (Worldwide)
2004-01,2,0,<1,<1,2
2004-02,1,<1,<1,<1,2
2004-03,1,0,0,<1,2
2004-04,2,<1,<1,<1,2
2004-05,1,<1,<1,<1,1
2004-06,1,<1,0,<1,1
2004-07,1,0,0,<1,2
2004-08,1,<1,<1,<1,1
2004-09,1,0,<1,<1,1
2004-10,1,0,0,<1,1
2004-11,1,0,<1,<1,2
2004-12,1,<1,<1,<1,2
2005-01,1,0,<1,<1,2
2005-02,1,0,<1,<1,1
2005-03,1,0,0,<1,2
2005-04,1,0,<1,<1,2
2005-05,1,<1,<1,<1,2
2005-06,1,0,<1,<1,1
2005-07,1,<1,<1,<1,1
2005-08,1,<1,<1,<1,1
2005-09,1,<1,<1,<1,1
2005-10,1,<1,<1,<1,1
2005-11,1,<1,<1,<1,1
2005-12,1,<1,<1,<1,1
2006-01,2,0,<1,<1,1
2006-02,1,<1,<1,<1,1
2006-03,1,<1,<1,<1,1
2006-04,1,<1,<1,<1,1
2006-05,1,<1,<1,<1,1
2006-06,2,0,<1,<1,1
2006-07,1,<1,<1,<1,1
2006-08,1,0,<1,<1,1
2006-09,1,<1,<1,<1,1
2006-10,1,<1,<1,<1,1
2006-11,1,<1,<1,<1,1
2006-12,2,0,<1,<1,1
2007-01,2,0,<1,<1,1
2007-02,12,<1,<1,<1,1
2007-03,9,<1,<1,<1,1
2007-04,6,<1,<1,<1,1
2007-05,6,<1,<1,<1,1
2007-06,6,<1,<1,<1,1
2007-07,6,<1,<1,<1,1
2007-08,6,<1,<1,<1,1
2007-09,7,<1,<1,<1,1
2007-10,13,<1,<1,<1,1
2007-11,18,<1,<1,<1,1
2007-12,17,<1,1,<1,2
2008-01,14,<1,<1,<1,1
2008-02,10,<1,<1,<1,1
2008-03,14,<1,<1,<1,1
2008-04,16,<1,<1,<1,1
2008-05,15,<1,<1,<1,1
2008-06,13,<1,<1,<1,1
2008-07,13,<1,<1,<1,1
2008-08,16,<1,<1,<1,1
2008-09,15,<1,<1,<1,1
2008-10,14,<1,<1,<1,1
2008-11,11,<1,<1,<1,1
2008-12,13,1,<1,<1,1
2009-01,12,<1,<1,<1,1
2009-02,11,<1,<1,<1,<1
2009-03,14,1,1,<1,<1
2009-04,15,1,1,<1,<1
2009-05,15,1,1,<1,1
2009-06,13,1,1,<1,<1
2009-07,15,1,1,<1,<1
2009-08,17,2,4,<1,<1
2009-09,15,6,3,<1,<1
2009-10,14,4,2,<1,1
2009-11,15,3,1,<1,<1
2009-12,16,4,3,<1,1
2010-01,18,2,2,<1,<1
2010-02,19,2,3,1,1
2010-03,19,2,2,<1,<1
2010-04,27,2,2,<1,<1
2010-05,20,2,2,<1,1
2010-06,21,4,3,1,1
2010-07,22,4,4,1,1
2010-08,26,3,4,2,1
2010-09,26,3,2,1,1
2010-10,28,2,2,1,1
2010-11,22,2,2,1,1
2010-12,26,3,2,1,1
2011-01,27,4,3,1,1
2011-02,35,2,2,1,1
2011-03,24,2,2,1,1
2011-04,21,4,2,1,1
2011-05,25,4,2,1,1
2011-06,28,5,2,1,1
2011-07,25,3,2,1,1
2011-08,52,3,3,2,2
2011-09,32,3,2,2,1
2011-10,39,3,2,1,1
2011-11,56,3,3,2,1
2011-12,33,4,5,2,1
2012-01,31,6,4,2,1
2012-02,29,4,3,2,1
2012-03,26,4,3,2,1
2012-04,29,6,3,2,1
2012-05,28,5,3,2,1
2012-06,33,3,3,2,2
2012-07,28,4,6,3,2
2012-08,30,3,4,3,2
2012-09,28,4,4,2,2
2012-10,25,4,3,2,2
2012-11,24,5,3,2,1
2012-12,30,3,2,2,2
2013-01,38,5,4,2,2
2013-02,31,3,3,2,2
2013-03,34,3,3,2,2
2013-04,37,4,3,2,2
2013-05,31,3,2,2,2
2013-06,66,4,3,3,2
2013-07,31,5,3,3,3
2013-08,30,7,4,3,4
2013-09,23,7,3,2,2
2013-10,34,6,2,2,3
2013-11,31,6,2,6,3
2013-12,27,7,2,5,3
2014-01,26,6,2,5,3
2014-02,23,5,2,6,3
2014-03,25,5,2,4,4
2014-04,25,5,2,3,4
2014-05,39,5,2,5,5
2014-06,33,6,5,6,5
2014-07,37,6,4,4,5
2014-08,37,5,3,5,6
2014-09,47,4,3,5,5
2014-10,29,4,2,4,6
2014-11,100,7,5,5,8
2014-12,39,6,7,6,8
2015-01,35,5,4,5,9
2015-02,42,6,3,7,12
2015-03,37,5,3,6,9
2015-04,31,5,3,9,23
2015-05,33,5,3,8,15
2015-06,37,5,3,8,13
2015-07,33,7,8,8,17
2015-08,34,6,4,8,23
2015-09,28,5,3,7,18
2015-10,27,13,5,7,13
2015-11,24,8,4,10,18
2015-12,38,8,7,9,20
2016-01,26,8,5,10,15
2016-02,29,8,4,8,16
2016-03,48,6,4,7,16
2016-04,26,5,3,7,19
2016-05,24,6,3,7,20
2016-06,24,7,3,6,17
2016-07,30,6,4,6,19
2016-08,26,4,3,6,20
2016-09,26,5,3,5,15
2016-10,38,5,3,5,14
2016-11,20,5,2,7,17
2016-12,21,4,2,6,17
2017-01,20,4,2,5,14
2017-02,17,4,2,4,12
2017-03,15,4,2,3,9
2017-04,21,3,2,9,12
2017-05,17,3,3,6,11
2017-06,16,5,2,4,11
2017-07,17,3,2,4,11
2017-08,14,3,2,4,13
2017-09,17,6,2,4,28
2017-10,16,6,3,5,14
2017-11,17,5,2,4,12
2017-12,15,6,3,3,13
2018-01,23,6,3,4,16
2018-02,20,5,3,5,32
2018-03,15,5,3,4,11
2018-04,17,20,3,4,9
2018-05,16,7,2,5,12
2018-06,15,4,2,4,7
2018-07,15,4,2,4,15
2018-08,17,4,4,4,12
2018-09,14,3,2,5,8
2018-10,15,3,2,3,7
2018-11,15,4,2,4,8
2018-12,13,3,2,4,8
2019-01,13,3,2,4,9
2019-02,13,9,2,4,13
2019-03,12,7,2,3,11
2019-04,14,3,2,3,7
2019-05,18,3,2,3,8
2019-06,12,4,2,3,8
2019-07,11,3,1,3,8
2019-08,10,2,1,2,8
2019-09,11,2,1,3,8
2019-10,11,2,1,3,13
2019-11,11,2,1,3,9
2019-12,12,3,2,5,8
2020-01,10,2,1,3,8
2020-02,10,2,1,3,7
2020-03,10,2,1,2,7
2020-04,12,3,3,4,9
2020-05,11,4,2,4,10
2020-06,11,3,2,4,8
2020-07,15,3,2,3,7
2020-08,10,2,2,4,9
2020-09,10,3,2,3,7
2020-10,11,2,2,3,7
2020-11,9,2,1,3,7
2020-12,9,2,1,3,7
2021-01,17,2,1,3,6
2021-02,12,2,2,4,6
2021-03,10,3,2,3,6
2021-04,11,10,3,4,6
2021-05,9,3,2,4,6
2021-06,11,3,2,4,6
2021-07,9,2,2,4,6
2021-08,9,2,2,3,8
2021-09,14,2,3,4,9
2021-10,10,2,5,3,5
2021-11,14,2,2,3,7
2021-12,11,3,2,3,5
2022-01,12,4,2,4,7
