Category: All categories

Month,Family Guy: (Cyprus),South Park: (Cyprus),The Simpsons: (Cyprus)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,100,0
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,16,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,16,16
2004-11,0,0,16
2004-12,0,25,0
2005-01,0,0,0
2005-02,0,12,0
2005-03,0,0,19
2005-04,0,24,0
2005-05,11,11,0
2005-06,0,0,11
2005-07,0,0,0
2005-08,0,0,11
2005-09,0,0,30
2005-10,0,0,11
2005-11,0,0,0
2005-12,0,0,10
2006-01,0,11,11
2006-02,0,63,0
2006-03,0,0,31
2006-04,38,38,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,0,32
2006-08,0,0,0
2006-09,0,0,0
2006-10,0,0,0
2006-11,0,0,0
2006-12,0,30,30
2007-01,0,52,0
2007-02,0,0,27
2007-03,22,0,0
2007-04,70,0,0
2007-05,0,19,19
2007-06,0,0,0
2007-07,0,20,0
2007-08,0,18,0
2007-09,70,53,0
2007-10,0,32,0
2007-11,0,0,15
2007-12,16,0,32
2008-01,0,28,14
2008-02,0,0,14
2008-03,39,0,0
2008-04,0,13,27
2008-05,24,36,0
2008-06,13,13,0
2008-07,0,24,0
2008-08,37,12,37
2008-09,11,11,11
2008-10,0,21,10
2008-11,0,56,34
2008-12,34,34,0
2009-01,0,10,10
2009-02,41,10,10
2009-03,18,18,0
2009-04,9,19,28
2009-05,0,35,0
2009-06,9,0,9
2009-07,8,8,8
2009-08,0,9,9
2009-09,24,24,0
2009-10,16,8,8
2009-11,0,0,16
2009-12,8,0,8
2010-01,0,7,22
2010-02,0,24,0
2010-03,14,14,0
2010-04,7,37,7
2010-05,23,8,0
2010-06,16,0,16
2010-07,8,8,8
2010-08,9,0,9
2010-09,16,8,16
2010-10,39,23,23
2010-11,47,0,8
2010-12,0,15,0
2011-01,15,4,4
2011-02,20,16,8
2011-03,14,4,14
2011-04,32,0,7
2011-05,30,13,10
2011-06,26,22,4
2011-07,15,4,19
2011-08,10,14,10
2011-09,13,3,3
2011-10,6,19,10
2011-11,23,0,3
2011-12,13,16,13
2012-01,9,3,6
2012-02,9,6,3
2012-03,11,11,6
2012-04,6,6,6
2012-05,0,6,3
2012-06,12,15,12
2012-07,6,9,3
2012-08,15,12,9
2012-09,22,3,0
2012-10,5,5,5
2012-11,8,8,0
2012-12,8,5,8
2013-01,14,0,2
2013-02,10,0,5
2013-03,4,8,2
2013-04,14,10,12
2013-05,14,4,4
2013-06,4,2,8
2013-07,10,2,8
2013-08,6,6,8
2013-09,4,9,2
2013-10,13,4,0
2013-11,9,11,4
2013-12,9,11,4
2014-01,3,3,3
2014-02,4,6,6
2014-03,3,12,5
2014-04,4,7,5
2014-05,7,7,3
2014-06,7,2,7
2014-07,9,7,9
2014-08,11,6,7
2014-09,14,9,9
2014-10,8,10,5
2014-11,7,10,2
2014-12,7,7,5
2015-01,10,8,7
2015-02,0,7,4
2015-03,5,3,2
2015-04,3,7,3
2015-05,6,2,3
2015-06,8,3,10
2015-07,8,3,8
2015-08,7,2,8
2015-09,13,3,5
2015-10,5,2,5
2015-11,2,3,5
2015-12,0,6,2
2016-01,3,1,7
2016-02,2,2,3
2016-03,3,1,0
2016-04,4,3,4
2016-05,3,3,7
2016-06,6,0,5
2016-07,9,2,3
2016-08,6,9,11
2016-09,8,8,0
2016-10,7,7,7
2016-11,7,13,6
2016-12,1,10,7
2017-01,6,7,4
2017-02,6,2,2
2017-03,0,3,3
2017-04,4,4,3
2017-05,3,1,1
2017-06,5,5,5
2017-07,5,5,5
2017-08,10,6,7
2017-09,2,5,2
2017-10,5,5,3
2017-11,4,8,3
2017-12,4,3,7
2018-01,4,1,8
2018-02,5,3,3
2018-03,5,0,1
2018-04,3,1,1
2018-05,4,0,5
2018-06,1,1,4
2018-07,10,3,3
2018-08,6,3,3
2018-09,0,8,1
2018-10,3,3,4
2018-11,1,1,3
2018-12,5,0,3
2019-01,8,3,3
2019-02,3,2,2
2019-03,1,0,0
2019-04,3,0,3
2019-05,3,0,1
2019-06,3,0,5
2019-07,1,1,4
2019-08,1,3,6
2019-09,1,6,1
2019-10,4,6,4
2019-11,1,4,0
2019-12,3,1,1
2020-01,0,7,3
2020-02,3,4,11
2020-03,5,1,10
2020-04,3,4,3
2020-05,3,4,0
2020-06,1,3,3
2020-07,1,5,0
2020-08,3,3,3
2020-09,0,0,1
2020-10,1,3,4
2020-11,3,5,10
2020-12,1,1,4
2021-01,1,1,6
2021-02,0,0,0
2021-03,5,3,5
2021-04,2,1,2
2021-05,2,5,1
2021-06,5,2,2
2021-07,1,2,4
2021-08,1,5,0
2021-09,5,0,3
2021-10,2,4,0
2021-11,4,2,3
2021-12,2,2,2
2022-01,3,3,2
