Category: All categories

Month,Family Guy: (United States),South Park: (United States),The Simpsons: (United States)
2004-01,31,33,58
2004-02,28,30,59
2004-03,27,41,51
2004-04,27,48,52
2004-05,27,43,52
2004-06,23,28,41
2004-07,33,31,39
2004-08,39,27,45
2004-09,35,30,41
2004-10,36,36,40
2004-11,31,42,42
2004-12,35,36,46
2005-01,36,28,43
2005-02,35,26,37
2005-03,29,34,39
2005-04,46,35,40
2005-05,63,30,39
2005-06,47,24,32
2005-07,59,26,29
2005-08,56,27,33
2005-09,60,28,31
2005-10,48,35,33
2005-11,60,47,30
2005-12,73,48,34
2006-01,51,36,28
2006-02,54,33,29
2006-03,42,63,33
2006-04,55,61,32
2006-05,44,44,27
2006-06,39,32,22
2006-07,36,34,24
2006-08,32,32,25
2006-09,36,35,26
2006-10,35,68,25
2006-11,41,62,30
2006-12,41,46,29
2007-01,29,33,23
2007-02,33,33,25
2007-03,36,65,24
2007-04,36,66,23
2007-05,33,42,28
2007-06,37,38,28
2007-07,45,40,86
2007-08,42,42,59
2007-09,54,38,32
2007-10,60,62,30
2007-11,74,73,34
2007-12,65,49,37
2008-01,63,37,32
2008-02,56,35,29
2008-03,66,54,26
2008-04,62,71,30
2008-05,70,51,33
2008-06,68,41,31
2008-07,61,40,33
2008-08,58,36,30
2008-09,57,34,28
2008-10,73,61,33
2008-11,81,65,34
2008-12,73,44,34
2009-01,58,35,31
2009-02,60,32,31
2009-03,67,51,32
2009-04,66,71,33
2009-05,70,41,34
2009-06,60,36,35
2009-07,56,32,36
2009-08,59,31,33
2009-09,61,34,33
2009-10,64,55,37
2009-11,63,61,36
2009-12,67,41,33
2010-01,57,35,40
2010-02,58,32,35
2010-03,53,47,32
2010-04,52,100,35
2010-05,56,50,42
2010-06,49,37,37
2010-07,48,34,35
2010-08,47,30,32
2010-09,46,29,31
2010-10,51,58,39
2010-11,48,55,36
2010-12,55,40,35
2011-01,57,37,25
2011-02,49,30,24
2011-03,48,31,23
2011-04,50,43,22
2011-05,48,53,23
2011-06,44,57,23
2011-07,46,39,20
2011-08,46,36,21
2011-09,45,33,22
2011-10,49,53,26
2011-11,54,48,24
2011-12,51,36,21
2012-01,48,31,20
2012-02,45,28,22
2012-03,44,37,21
2012-04,40,40,20
2012-05,43,31,20
2012-06,43,28,18
2012-07,46,27,19
2012-08,40,27,20
2012-09,37,29,18
2012-10,37,41,23
2012-11,40,34,20
2012-12,42,27,22
2013-01,40,25,20
2013-02,34,24,21
2013-03,33,22,22
2013-04,37,20,20
2013-05,34,22,20
2013-06,31,21,20
2013-07,33,20,21
2013-08,33,21,21
2013-09,28,26,18
2013-10,29,34,25
2013-11,74,35,22
2013-12,60,34,21
2014-01,33,24,22
2014-02,28,24,22
2014-03,29,44,19
2014-04,31,28,19
2014-05,31,26,21
2014-06,30,24,21
2014-07,35,27,24
2014-08,34,25,40
2014-09,37,33,37
2014-10,31,42,29
2014-11,29,38,24
2014-12,32,36,21
2015-01,27,23,21
2015-02,25,20,18
2015-03,25,20,20
2015-04,24,21,18
2015-05,24,19,22
2015-06,28,21,20
2015-07,27,22,19
2015-08,26,21,17
2015-09,23,36,19
2015-10,24,39,22
2015-11,27,36,18
2015-12,27,33,19
2016-01,27,20,20
2016-02,23,19,20
2016-03,23,18,21
2016-04,22,17,19
2016-05,24,18,18
2016-06,25,20,17
2016-07,26,20,19
2016-08,25,19,17
2016-09,23,36,16
2016-10,24,31,20
2016-11,21,31,31
2016-12,23,25,21
2017-01,23,17,18
2017-02,20,16,30
2017-03,23,16,18
2017-04,23,15,18
2017-05,23,15,18
2017-06,24,16,19
2017-07,23,17,19
2017-08,22,17,17
2017-09,20,28,16
2017-10,22,31,16
2017-11,23,32,16
2017-12,22,26,19
2018-01,24,18,16
2018-02,20,16,20
2018-03,17,15,17
2018-04,17,15,18
2018-05,18,14,17
2018-06,17,15,19
2018-07,18,16,16
2018-08,17,16,17
2018-09,16,20,15
2018-10,16,23,19
2018-11,17,21,16
2018-12,18,19,16
2019-01,18,16,17
2019-02,17,14,15
2019-03,17,14,15
2019-04,14,14,15
2019-05,15,14,16
2019-06,15,14,14
2019-07,15,15,15
2019-08,15,14,15
2019-09,15,18,15
2019-10,15,26,17
2019-11,16,24,21
2019-12,15,20,21
2020-01,15,15,23
2020-02,14,14,28
2020-03,15,13,44
2020-04,15,14,22
2020-05,16,15,24
2020-06,15,18,28
2020-07,14,17,18
2020-08,13,15,24
2020-09,13,21,18
2020-10,14,39,25
2020-11,14,17,24
2020-12,15,18,21
2021-01,15,16,33
2021-02,17,15,18
2021-03,16,23,15
2021-04,16,15,17
2021-05,16,14,17
2021-06,13,13,15
2021-07,15,14,16
2021-08,15,17,16
2021-09,16,16,17
2021-10,13,14,18
2021-11,14,25,19
2021-12,15,36,17
2022-01,13,23,16
