Category: All categories

Month,Family Guy: (Worldwide),South Park: (Worldwide),The Simpsons: (Worldwide)
2004-01,16,22,60
2004-02,14,24,57
2004-03,12,24,56
2004-04,14,33,53
2004-05,12,27,51
2004-06,13,22,47
2004-07,13,21,45
2004-08,20,19,48
2004-09,17,19,47
2004-10,15,24,48
2004-11,16,27,50
2004-12,18,29,56
2005-01,18,25,48
2005-02,16,22,50
2005-03,15,25,48
2005-04,20,26,45
2005-05,31,26,46
2005-06,24,24,42
2005-07,28,25,42
2005-08,28,21,43
2005-09,30,23,38
2005-10,28,27,41
2005-11,29,34,43
2005-12,33,33,44
2006-01,27,29,39
2006-02,27,28,39
2006-03,23,39,42
2006-04,28,39,42
2006-05,23,31,37
2006-06,22,26,33
2006-07,20,26,33
2006-08,19,25,33
2006-09,22,27,35
2006-10,22,49,37
2006-11,24,41,39
2006-12,26,33,39
2007-01,19,27,36
2007-02,20,28,36
2007-03,21,40,34
2007-04,22,45,35
2007-05,21,35,39
2007-06,21,32,43
2007-07,26,33,100
2007-08,24,31,91
2007-09,28,30,58
2007-10,32,43,50
2007-11,42,46,55
2007-12,35,37,58
2008-01,34,29,47
2008-02,31,30,46
2008-03,34,44,43
2008-04,32,52,44
2008-05,36,40,45
2008-06,34,34,43
2008-07,34,31,44
2008-08,32,31,42
2008-09,32,30,40
2008-10,42,44,46
2008-11,42,45,49
2008-12,39,35,51
2009-01,33,29,46
2009-02,34,28,47
2009-03,36,37,47
2009-04,41,49,51
2009-05,45,36,54
2009-06,36,30,51
2009-07,35,28,50
2009-08,37,29,49
2009-09,36,28,48
2009-10,43,44,53
2009-11,41,47,54
2009-12,43,34,56
2010-01,40,29,57
2010-02,39,28,53
2010-03,36,37,51
2010-04,38,69,55
2010-05,38,42,61
2010-06,33,30,56
2010-07,34,30,55
2010-08,34,30,51
2010-09,31,28,52
2010-10,34,44,55
2010-11,33,44,54
2010-12,39,33,54
2011-01,36,29,53
2011-02,31,26,50
2011-03,31,24,50
2011-04,32,31,49
2011-05,35,40,49
2011-06,30,40,50
2011-07,29,28,48
2011-08,29,27,47
2011-09,28,24,47
2011-10,32,35,49
2011-11,32,33,45
2011-12,33,26,46
2012-01,32,23,43
2012-02,28,20,43
2012-03,26,26,39
2012-04,24,29,39
2012-05,26,22,38
2012-06,24,20,37
2012-07,25,20,37
2012-08,24,19,34
2012-09,22,21,35
2012-10,24,28,39
2012-11,24,23,37
2012-12,25,20,40
2013-01,24,18,38
2013-02,22,16,40
2013-03,21,16,40
2013-04,21,15,37
2013-05,20,15,38
2013-06,19,15,35
2013-07,19,15,38
2013-08,19,15,36
2013-09,17,18,34
2013-10,18,25,43
2013-11,36,24,39
2013-12,31,24,37
2014-01,20,19,41
2014-02,17,18,37
2014-03,17,39,37
2014-04,20,24,37
2014-05,19,20,38
2014-06,17,17,39
2014-07,20,19,41
2014-08,19,18,42
2014-09,20,20,40
2014-10,20,28,40
2014-11,18,26,36
2014-12,19,28,36
2015-01,17,18,35
2015-02,17,16,32
2015-03,15,14,32
2015-04,15,15,31
2015-05,15,14,33
2015-06,16,14,32
2015-07,15,14,30
2015-08,15,14,29
2015-09,14,21,29
2015-10,15,24,30
2015-11,15,22,29
2015-12,16,21,30
2016-01,15,13,29
2016-02,14,12,27
2016-03,13,11,27
2016-04,12,11,25
2016-05,13,11,25
2016-06,13,12,24
2016-07,13,12,25
2016-08,14,11,23
2016-09,13,20,22
2016-10,13,20,23
2016-11,12,20,36
2016-12,13,15,27
2017-01,12,11,25
2017-02,12,10,26
2017-03,12,9,23
2017-04,12,9,23
2017-05,12,9,21
2017-06,12,10,23
2017-07,12,9,22
2017-08,11,9,21
2017-09,11,15,20
2017-10,11,20,21
2017-11,12,20,20
2017-12,11,16,22
2018-01,12,11,20
2018-02,10,9,20
2018-03,9,9,19
2018-04,9,8,19
2018-05,9,8,18
2018-06,9,8,22
2018-07,9,8,20
2018-08,9,8,20
2018-09,9,10,18
2018-10,8,11,20
2018-11,8,11,19
2018-12,8,10,18
2019-01,9,8,17
2019-02,8,7,15
2019-03,8,7,15
2019-04,7,7,17
2019-05,7,7,18
2019-06,7,7,17
2019-07,7,7,17
2019-08,8,8,17
2019-09,8,9,17
2019-10,7,16,17
2019-11,7,13,18
2019-12,7,11,19
2020-01,7,9,23
2020-02,7,7,24
2020-03,7,8,34
2020-04,7,8,24
2020-05,8,8,23
2020-06,7,9,23
2020-07,6,8,18
2020-08,6,8,21
2020-09,6,10,17
2020-10,6,17,20
2020-11,6,9,21
2020-12,6,8,17
2021-01,7,8,25
2021-02,7,8,17
2021-03,7,10,15
2021-04,7,8,15
2021-05,7,7,16
2021-06,6,7,13
2021-07,6,7,15
2021-08,6,8,14
2021-09,6,7,14
2021-10,5,7,14
2021-11,6,11,15
2021-12,6,17,15
2022-01,6,12,14
